2016-12-12 18:30:00,USA,South Lake Tahoe,CA,Light,38.929125,-119.9878463902
2016-12-12 17:32:00,USA,Salem,OR,Other,44.9391565,-123.0331209
2016-12-12 07:30:00,USA,Eden Prairie,MN,Light,44.8454356,-93.5297242
2016-12-12 06:20:00,USA,Smithville,MO,Circle,39.3869442,-94.5810658
2016-11-12 22:30:00,USA,Casey,IA,Light,41.5049873,-94.5194148
2016-11-12 20:00:00,USA,St. George,UT,Other,37.104153,-113.5841312
2016-11-12 18:00:00,USA,Fort Collins,CO,Other,40.5508527,-105.0668084
2016-11-12 17:45:00,USA,Helena,MT,Sphere,46.5927122,-112.0361089
2016-11-12 16:00:00,USA,Independence,LA,Light,37.2242358,-95.7083130
2016-11-12 14:00:00,USA,Chester,PA,Formation,39.849557,-75.3557457
2016-11-12 08:56:00,USA,Trabuco Canyon,CA,Sphere,33.6626232,-117.5893799
2016-11-12 06:15:00,USA,Gallatin Gateway,MT,Circle,45.5915958,-111.1977303
2016-10-12 23:47:00,USA,Hot Springs,SD,Circle,43.431646,-103.4743629
2016-10-12 22:00:00,USA,Erving,MA,Flash,42.6000863,-72.3981415
2016-10-12 21:00:00,USA,Farragut,TN,Light,35.8845238,-84.1535260
2016-10-12 21:00:00,USA,Delta,CO,Fireball,38.8368777,-107.8568293
2016-10-12 20:41:00,USA,Virginia Beach,VA,Cigar,36.8529841,-75.9774182
2016-10-12 18:52:00,USA,Kayenta,AZ,Disk,36.717954,-110.2606012
2016-10-12 18:30:00,USA,Lahaina,HI,Rectangle,20.872684,-156.6762728
2016-10-12 18:15:00,USA,Navajo,NM,Light,35.9040858,-109.0335346
2016-10-12 18:00:00,USA,Santa Fe,NM,Formation,35.6869996,-105.9377996
2016-10-12 08:40:00,USA,Arlington,VA,Oval,38.8903961,-77.0841584
2016-10-12 08:37:00,USA,Hickory,NC,Cone,35.7331895,-81.3412005
2016-10-12 07:12:00,USA,Pearland,TX,Oval,29.5639758,-95.2864298
2016-09-12 22:00:00,USA,Phoenix,AZ,Unknown,33.4485866,-112.0773455
2016-09-12 21:50:00,USA,Portland,OR,Flash,45.5202471,-122.6741948
2016-09-12 21:39:00,USA,Oldsmar,FL,Sphere,28.06906015,-82.6501914
2016-09-12 21:30:00,USA,Kingman,AZ,Triangle,35.189443,-114.0530064
2016-09-12 20:30:00,USA,Fredericksburg,VA,Circle,38.3031837,-77.4605398
2016-09-12 19:30:00,USA,Lancing,TN,Diamond,36.1206306,-84.6538307
2016-09-12 19:00:00,USA,Tewksbury,MA,Triangle,42.6106479,-71.2342247
2016-09-12 16:30:00,USA,Newport,ME,Disk,44.8353424,-69.2739364
2016-09-12 05:25:00,CANADA,Truro,NS,Oval,45.366668,-63.3000059
2016-08-12 19:30:00,USA,Jerseyville,IL,Triangle,39.1200471,-90.3284478
2016-08-12 17:30:00,USA,St. Clair,MO,Light,38.0592942,-93.7945455
2016-08-12 17:15:00,USA,Cromwell,CT,Circle,41.2861336,-72.3557585
2016-08-12 16:00:00,USA,Atlanta,GA,Sphere,33.7490987,-84.3901848
2016-07-12 00:00:00,USA,Saint Augustine,FL,Circle,29.8946952,-81.3145394
2016-07-12 23:30:00,USA,Anchorage,AK,Flash,61.2163129,-149.8948522
2016-07-12 22:50:00,USA,Napili,HI,Fireball,20.9717546,-156.6756045
2016-07-12 22:10:00,USA,Bellingham,WA,Fireball,48.754402,-122.4788601
2016-07-12 19:15:00,USA,Snellville,GA,Circle,33.857328,-84.0199107
2016-07-12 18:53:00,USA,Las Vegas,NV,Other,36.1662859,-115.1492249
2016-07-12 18:20:00,USA,Riverdale,GA,Cylinder,33.5726113,-84.4132593
2016-07-12 18:00:00,USA,Plymouth,MA,Light,41.9584367,-70.6672576
2016-07-12 07:00:00,USA,Orlando,FL,Fireball,28.5479786,-81.4127841
2016-06-12 20:45:00,USA,High Point,NC,Other,35.9556924,-80.0053175
2016-06-12 19:15:00,USA,Austin,NV,Fireball,39.4932592,-117.0695385
2016-06-12 19:00:00,USA,Austin,NV,Other,39.4932592,-117.0695385
2016-06-12 18:00:00,USA,Nairn,LA,Formation,29.4279955,-89.6108946
2016-06-12 17:30:00,USA,Holland,PA,Sphere,40.1728871,-74.9926687
2016-06-12 17:00:00,USA,Manhattan,NY,Unknown,40.7902778,-73.9597221
2016-06-12 13:15:00,USA,Lake Jackson,TX,Unknown,29.0338575,-95.4343858
2016-06-12 07:15:00,USA,Union,IL,Chevron,37.4616454,-89.2504792
2016-06-12 05:00:00,USA,Osterville,MA,Light,41.6293398,-70.3866805
2016-06-12 01:40:00,USA,Sunrise,FL,Circle,26.1482449,-80.3288858
2016-05-12 22:40:00,CANADA,Regina,SK,Light,50.4480951,-104.6158180
2016-05-12 20:05:00,USA,Niantic,CT,Triangle,32.7809195,-117.2524695
2016-05-12 18:39:00,USA,Ivins,UT,Circle,37.1685907,-113.6794056
2016-05-12 18:15:00,USA,Haskell,NJ,Triangle,41.0284304,-74.2959822
2016-05-12 18:00:00,USA,Westmoreland,NH,Disk,42.9620253,-72.4423101
2016-05-12 17:40:00,CANADA,Keswick,ON,Unknown,44.2278666,-79.4614500
2016-05-12 16:00:00,USA,Elizabethtown,PA,Changing,40.153364,-76.6042520
2016-05-12 04:00:00,USA,Webster,NY,Unknown,43.2122851,-77.4299938
2016-05-12 03:30:00,USA,Stratford,CT,Light,37.2584705,-79.9622598
2016-05-12 01:40:00,USA,La Pine,OR,Fireball,43.6703995,-121.5036359
2016-04-12 23:10:00,USA,Sauk Rapids,MN,Triangle,45.5919097,-94.1661010
2016-04-12 22:40:00,USA,Huntington Beach,CA,Chevron,33.6783336,-118.0000165
2016-04-12 20:00:00,USA,Freeport,ME,Diamond,43.857307,-70.1037599
2016-04-12 19:32:00,USA,Sioux Falls,SD,Light,43.5499749,-96.7003269
2016-04-12 19:10:00,USA,Arcade,GA,Circle,34.0778881,-83.5615535
2016-04-12 19:00:00,USA,Redwood Falls,MN,Circle,44.5393721,-95.1164477
2016-04-12 18:15:00,USA,Brinklow,MD,Circle,39.1659403,-77.0155329
2016-04-12 18:00:00,USA,Winter Harbor,ME,Disk,44.395523,-68.0836489
2016-04-12 17:30:00,USA,Severn,MD,Light,39.127886,-76.6869129
2016-04-12 15:03:00,USA,Mission Viejo,CA,Light,33.5965685,-117.6594049
2016-04-12 14:16:00,USA,Marana,AZ,Unknown,32.4446988,-111.2157090
2016-04-12 12:10:00,CANADA,London,ON,Other,42.988576,-81.2466429
2016-03-12 23:37:00,USA,Matawan,NJ,Flash,40.41483,-74.2295890
2016-03-12 21:00:00,USA,Morgantown,WV,Light,39.6296809,-79.9559436
2016-03-12 19:30:00,USA,Corte Madera,CA,Disk,37.9254806,-122.5274754
2016-03-12 18:15:00,USA,Boone Grove,IN,Disk,41.3547602,-87.1294741
2016-03-12 18:00:00,USA,Rockville,MD,Oval,39.0840054,-77.1527572
2016-03-12 17:15:00,USA,North Snohomish,WA,Formation,47.9394115,-122.0779886
2016-03-12 16:00:00,USA,Whittier,CA,Formation,33.9748932,-118.0336974
2016-03-12 16:00:00,USA,Santa Cruz,CA,Light,36.9735903,-122.0260569
